E_lab	E*/MeV	191At	192At	BF=0.65	BF=0.65	195At	196At	197At
242.015	33	0.00E+00	0.00E+00	0.00E+00	6.50E-06	2.67E-03	4.29E-05	0.00E+00
243.413	34	0.00E+00	0.00E+00	0.00E+00	3.16E-05	2.06E-03	2.70E-05	0.00E+00
244.81	35	0.00E+00	0.00E+00	0.00E+00	9.96E-05	1.50E-03	1.62E-05	0.00E+00
246.207	36	0.00E+00	0.00E+00	0.00E+00	2.42E-04	1.03E-03	9.35E-06	0.00E+00
247.604	37	0.00E+00	0.00E+00	0.00E+00	4.91E-04	6.85E-04	5.07E-06	0.00E+00
249.001	38	0.00E+00	0.00E+00	0.00E+00	8.54E-04	4.37E-04	2.61E-06	0.00E+00
250.398	39	0.00E+00	0.00E+00	0.00E+00	1.26E-03	2.70E-04	1.02E-06	0.00E+00
251.796	40	0.00E+00	0.00E+00	2.58E-10	1.59E-03	1.62E-04	0.00E+00	0.00E+00
253.193	41	0.00E+00	0.00E+00	6.69E-09	1.72E-03	9.56E-05	0.00E+00	0.00E+00
254.59	42	0.00E+00	0.00E+00	7.18E-08	1.67E-03	5.53E-05	0.00E+00	0.00E+00
255.987	43	0.00E+00	0.00E+00	4.38E-07	1.48E-03	3.15E-05	0.00E+00	0.00E+00
257.384	44	0.00E+00	0.00E+00	1.78E-06	1.23E-03	1.78E-05	0.00E+00	0.00E+00
258.781	45	0.00E+00	0.00E+00	5.37E-06	9.61E-04	9.95E-06	0.00E+00	0.00E+00
260.179	46	0.00E+00	0.00E+00	1.30E-05	7.22E-04	5.51E-06	0.00E+00	0.00E+00
261.576	47	0.00E+00	0.00E+00	2.60E-05	5.25E-04	3.00E-06	0.00E+00	0.00E+00
262.973	48	0.00E+00	0.00E+00	4.36E-05	3.71E-04	1.60E-06	0.00E+00	0.00E+00
264.37	49	0.00E+00	0.00E+00	6.24E-05	2.56E-04	8.23E-07	0.00E+00	0.00E+00
265.767	50	0.00E+00	0.00E+00	7.79E-05	1.74E-04	3.85E-07	0.00E+00	0.00E+00
267.164	51	0.00E+00	0.00E+00	8.71E-05	1.16E-04	5.92E-08	0.00E+00	0.00E+00
268.562	52	0.00E+00	2.41E-11	8.89E-05	7.67E-05	0.00E+00	0.00E+00	0.00E+00
269.959	53	0.00E+00	3.18E-10	8.45E-05	5.01E-05	0.00E+00	0.00E+00	0.00E+00
271.356	54	0.00E+00	2.46E-09	7.58E-05	3.24E-05	0.00E+00	0.00E+00	0.00E+00
272.753	55	0.00E+00	1.27E-08	6.49E-05	2.08E-05	0.00E+00	0.00E+00	0.00E+00
274.15	56	0.00E+00	4.79E-08	5.33E-05	1.33E-05	0.00E+00	0.00E+00	0.00E+00
275.547	57	0.00E+00	1.42E-07	4.25E-05	8.42E-06	0.00E+00	0.00E+00	0.00E+00
276.945	58	0.00E+00	3.49E-07	3.29E-05	5.32E-06	0.00E+00	0.00E+00	0.00E+00
279.739	60	0.00E+00	1.35E-06	1.85E-05	2.09E-06	0.00E+00	0.00E+00	0.00E+00
279.739	60	0.00E+00	1.35E-06	1.85E-05	2.09E-06	0.00E+00	0.00E+00	0.00E+00
281.136	61	0.00E+00	2.18E-06	1.35E-05	1.31E-06	0.00E+00	0.00E+00	0.00E+00
282.533	62	0.00E+00	3.16E-06	9.68E-06	8.11E-07	0.00E+00	0.00E+00	0.00E+00
283.93	63	4.89E-12	4.14E-06	6.87E-06	5.00E-07	0.00E+00	0.00E+00	0.00E+00
285.327	64	3.57E-11	5.00E-06	4.82E-06	3.08E-07	0.00E+00	0.00E+00	0.00E+00
286.725	65	1.90E-10	5.62E-06	3.36E-06	1.83E-07	0.00E+00	0.00E+00	0.00E+00
288.122	66	7.82E-10	5.95E-06	2.31E-06	1.08E-07	0.00E+00	0.00E+00	0.00E+00
289.519	67	2.57E-09	5.98E-06	1.59E-06	5.88E-08	0.00E+00	0.00E+00	0.00E+00
290.916	68	6.93E-09	5.76E-06	1.08E-06	2.30E-08	0.00E+00	0.00E+00	0.00E+00
292.313	69	1.58E-08	5.33E-06	7.30E-07	5.44E-09	0.00E+00	0.00E+00	0.00E+00
293.71	70	3.09E-08	4.78E-06	4.92E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
295.108	71	5.33E-08	4.17E-06	3.30E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
296.505	72	8.23E-08	3.54E-06	2.20E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
297.902	73	1.16E-07	2.95E-06	1.46E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
299.299	74	1.50E-07	2.40E-06	9.66E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
300.696	75	1.83E-07	1.93E-06	6.28E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
302.093	76	2.09E-07	1.53E-06	4.09E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
303.491	77	2.28E-07	1.19E-06	2.60E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
304.888	78	2.37E-07	9.17E-07	1.56E-08	0.00E+00	0.00E+00	0.00E+00	0.00E+00
306.285	79	2.38E-07	7.00E-07	7.98E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
307.682	80	2.31E-07	5.29E-07	3.37E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00
								
								
E_lab	E*/MeV	191At	192At	BF=0.69	BF=0.69	195At	196At	197At
223.852	20	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.34E-10	1.69E-06	9.09E-10
225.249	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.60E-08	5.08E-06	1.61E-09
