  E*/MeV   191At     192At     193At     BF=0.63     BF=0.63     196At     197At  
    64.0 0.000E+00 0.352E-07 0.816E-04 0.116E-03 0.110E-05 0.000E+00 0.000E+00
    65.0 0.000E+00 0.797E-07 0.790E-04 0.853E-04 0.662E-06 0.000E+00 0.000E+00
    66.0 0.000E+00 0.170E-06 0.738E-04 0.619E-04 0.389E-06 0.000E+00 0.000E+00
    67.0 0.000E+00 0.338E-06 0.668E-04 0.444E-04 0.212E-06 0.000E+00 0.000E+00
    
    
  E*/MeV   191At     192At     193At     BF=0.65     BF=0.65     196At     197At 
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.990E-10 0.943E-06 0.225E-09
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.699E-08 0.263E-05 0.340E-09
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.173E-06 0.693E-05 0.117E-09
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.225E-05 0.171E-04 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.186E-04 0.376E-04 0.000E+00
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.100E-03 0.663E-04 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.344E-03 0.897E-04 0.000E+00
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.785E-03 0.982E-04 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.128E-02 0.923E-04 0.000E+00
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.164E-02 0.779E-04 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.179E-02 0.605E-04 0.000E+00
    31.0 0.000E+00 0.000E+00 0.000E+00 0.135E-07 0.172E-02 0.440E-04 0.000E+00
    32.0 0.000E+00 0.000E+00 0.000E+00 0.340E-06 0.151E-02 0.302E-04 0.000E+00
    33.0 0.000E+00 0.000E+00 0.000E+00 0.321E-05 0.123E-02 0.197E-04 0.000E+00
    34.0 0.000E+00 0.000E+00 0.000E+00 0.159E-04 0.934E-03 0.123E-04 0.000E+00
    35.0 0.000E+00 0.000E+00 0.000E+00 0.510E-04 0.673E-03 0.731E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.126E-03 0.461E-03 0.408E-05 0.000E+00
    37.0 0.000E+00 0.000E+00 0.000E+00 0.258E-03 0.303E-03 0.211E-05 0.000E+00
    38.0 0.000E+00 0.000E+00 0.000E+00 0.445E-03 0.192E-03 0.859E-06 0.000E+00
    39.0 0.000E+00 0.000E+00 0.000E+00 0.646E-03 0.118E-03 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.105E-09 0.794E-03 0.705E-04 0.000E+00 0.000E+00
    41.0 0.000E+00 0.000E+00 0.279E-08 0.848E-03 0.413E-04 0.000E+00 0.000E+00
    42.0 0.000E+00 0.000E+00 0.304E-07 0.810E-03 0.238E-04 0.000E+00 0.000E+00
    43.0 0.000E+00 0.000E+00 0.189E-06 0.710E-03 0.135E-04 0.000E+00 0.000E+00
    44.0 0.000E+00 0.000E+00 0.780E-06 0.582E-03 0.758E-05 0.000E+00 0.000E+00
    45.0 0.000E+00 0.000E+00 0.238E-05 0.452E-03 0.421E-05 0.000E+00 0.000E+00
    46.0 0.000E+00 0.000E+00 0.575E-05 0.337E-03 0.232E-05 0.000E+00 0.000E+00
    47.0 0.000E+00 0.000E+00 0.114E-04 0.243E-03 0.122E-05 0.000E+00 0.000E+00
    48.0 0.000E+00 0.000E+00 0.187E-04 0.171E-03 0.635E-06 0.000E+00 0.000E+00
    49.0 0.000E+00 0.000E+00 0.263E-04 0.117E-03 0.284E-06 0.000E+00 0.000E+00
    50.0 0.000E+00 0.000E+00 0.323E-04 0.790E-04 0.635E-07 0.000E+00 0.000E+00
    51.0 0.000E+00 0.000E+00 0.356E-04 0.525E-04 0.000E+00 0.000E+00 0.000E+00


  E*/MeV   190Po     191Po     192Po     BF=0.65     BF=0.65     BF=0.65     196Po  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.275E-07 0.602E-06
    21.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.220E-06 0.207E-05
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.167E-05 0.655E-05
    23.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.113E-04 0.190E-04
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.636E-04 0.483E-04
    25.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.126E-08 0.266E-03 0.971E-04
    26.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.312E-07 0.813E-03 0.149E-03
    27.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.327E-06 0.194E-02 0.183E-03
    28.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.226E-05 0.380E-02 0.191E-03
    29.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.119E-04 0.634E-02 0.178E-03
    30.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.494E-04 0.920E-02 0.152E-03
    31.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.165E-03 0.118E-01 0.120E-03
    32.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.457E-03 0.135E-01 0.891E-04
    33.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.108E-02 0.140E-01 0.626E-04
    34.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.219E-02 0.133E-01 0.419E-04
    35.0 0.000E+00 0.000E+00 0.000E+00 0.169E-08 0.388E-02 0.117E-01 0.268E-04
    36.0 0.000E+00 0.000E+00 0.000E+00 0.259E-07 0.604E-02 0.966E-02 0.165E-04
    37.0 0.000E+00 0.000E+00 0.000E+00 0.165E-06 0.833E-02 0.753E-02 0.978E-05
    38.0 0.000E+00 0.000E+00 0.000E+00 0.612E-06 0.103E-01 0.558E-02 0.559E-05
    39.0 0.000E+00 0.000E+00 0.000E+00 0.165E-05 0.114E-01 0.396E-02 0.308E-05
    40.0 0.000E+00 0.000E+00 0.000E+00 0.400E-05 0.116E-01 0.271E-02 0.159E-05
    41.0 0.000E+00 0.000E+00 0.000E+00 0.959E-05 0.109E-01 0.180E-02 0.753E-06
    42.0 0.000E+00 0.000E+00 0.000E+00 0.224E-04 0.964E-02 0.116E-02 0.253E-06
    43.0 0.000E+00 0.000E+00 0.000E+00 0.490E-04 0.804E-02 0.733E-03 0.000E+00
    44.0 0.000E+00 0.000E+00 0.000E+00 0.982E-04 0.640E-02 0.455E-03 0.000E+00
    45.0 0.000E+00 0.000E+00 0.000E+00 0.180E-03 0.491E-02 0.278E-03 0.000E+00
    46.0 0.000E+00 0.000E+00 0.000E+00 0.302E-03 0.364E-02 0.168E-03 0.000E+00
    47.0 0.000E+00 0.000E+00 0.576E-09 0.467E-03 0.263E-02 0.100E-03 0.000E+00
    48.0 0.000E+00 0.000E+00 0.384E-08 0.666E-03 0.185E-02 0.597E-04 0.000E+00
    49.0 0.000E+00 0.000E+00 0.200E-07 0.878E-03 0.128E-02 0.352E-04 0.000E+00
    50.0 0.000E+00 0.000E+00 0.850E-07 0.108E-02 0.874E-03 0.206E-04 0.000E+00
    51.0 0.000E+00 0.000E+00 0.301E-06 0.123E-02 0.587E-03 0.120E-04 0.000E+00
